PUID_SIX,ACADEMIC_PERIOD,ACADEMIC_PERIOD_DESC,COURSE_IDENTIFICATION,COURSE_REFERENCE_NUMBER,Prior_Overall_GPA_Term,Prior_Overall_Term_Desc,Prior_Overall_GPA_Term_Level,Prior_Term_Overall_GPA
356157,202210,Fall 2021,PHYS17200,26931,,,,
356162,202210,Fall 2021,PHYS22000,27016,,,,
356178,202210,Fall 2021,PHYS17200,37254,,,,
356209,202210,Fall 2021,PHYS22000,27017,,,,
356251,202210,Fall 2021,PHYS17200,37253,,,,
356282,202210,Fall 2021,PHYS17200,21307,,,,
356283,202210,Fall 2021,PHYS17200,37254,,,,
356294,202210,Fall 2021,PHYS17200,37254,,,,
356296,202210,Fall 2021,PHYS17200,37253,,,,
356326,202210,Fall 2021,PHYS17200,26931,,,,
356348,202210,Fall 2021,PHYS17200,26931,,,,
356416,202210,Fall 2021,PHYS17200,26931,,,,
356446,202210,Fall 2021,PHYS17200,37253,,,,
356452,202210,Fall 2021,PHYS17200,26931,,,,
356506,202210,Fall 2021,PHYS17200,37253,,,,
356534,202210,Fall 2021,PHYS17200,26930,,,,
356565,202210,Fall 2021,PHYS17200,37254,,,,
356574,202210,Fall 2021,PHYS17200,37253,,,,
356575,202210,Fall 2021,PHYS17200,21307,,,,
356598,202210,Fall 2021,PHYS17200,26930,,,,
356619,202210,Fall 2021,PHYS17200,26930,,,,
356747,202210,Fall 2021,PHYS17200,26931,,,,
356771,202210,Fall 2021,PHYS17200,26931,,,,
356785,202210,Fall 2021,PHYS22000,10333,,,,
356801,202210,Fall 2021,PHYS17200,37253,,,,
356811,202210,Fall 2021,PHYS17200,37253,,,,
356885,202210,Fall 2021,PHYS17200,37254,,,,
356989,202210,Fall 2021,PHYS17200,26930,,,,
357033,202210,Fall 2021,PHYS17200,26931,,,,
357084,202210,Fall 2021,PHYS17200,26931,,,,
357093,202210,Fall 2021,PHYS22000,27017,,,,
357207,202210,Fall 2021,PHYS17200,37253,,,,
357213,202210,Fall 2021,PHYS22000,27017,,,,
357222,202210,Fall 2021,PHYS17200,26931,,,,
357314,202210,Fall 2021,PHYS17200,37253,,,,
357489,202210,Fall 2021,PHYS22000,27017,,,,
357569,202210,Fall 2021,PHYS17200,26930,,,,
357643,202210,Fall 2021,PHYS17200,37254,,,,
357655,202210,Fall 2021,PHYS17200,37254,,,,
357674,202210,Fall 2021,PHYS17200,26931,,,,
357746,202210,Fall 2021,PHYS22000,23960,,,,
357751,202210,Fall 2021,PHYS17200,37253,,,,
357903,202210,Fall 2021,PHYS17200,37254,,,,
357932,202210,Fall 2021,PHYS17200,37254,,,,
357963,202210,Fall 2021,PHYS17200,26930,,,,
358086,202210,Fall 2021,PHYS17200,26931,,,,
358223,202210,Fall 2021,PHYS17200,37253,,,,
358246,202210,Fall 2021,PHYS17200,26931,,,,
358255,202210,Fall 2021,PHYS22000,10333,,,,
358416,202210,Fall 2021,PHYS17200,26930,,,,
358458,202210,Fall 2021,PHYS17200,37254,,,,
